News,Price_Direction_Up,Price_Direction_Constant,Price_Direction_Down,Asset_Comparision,Past_Information,Future_Information,Price_Sentiment,label_num
buy gold at usd 1748; target usd 1778: geojit,0,0,0,0,0,1,none,3
"june gold extends drop, off $20.70 to $1,447.90 oz",0,0,1,0,1,0,negative,1
gold to trade in 29645-30131 range: achiievers equities,0,1,0,0,0,1,neutral,0
MCX GOLDM Dec contract down slightly,0,0,1,0,1,0,negative,1
"august gold ends up $3.80, or 0.4%, at $936",1,0,0,0,1,0,positive,2
"gold falls, oil pares gains after fed announcement",0,0,1,1,1,0,negative,1
gold top was easy to see,0,0,0,0,1,0,none,3
"gold hovers near 3-month low, dollar strength weighs",0,1,0,1,1,0,neutral,0
looking for pot of gold in facebook's graph search,0,0,0,0,1,0,none,3
hold long positions in gold: pj commodity ventures,0,1,0,1,1,0,neutral,0
april gold climbs 60 cents to $654.50/oz in afternoon trade,1,0,0,0,1,0,positive,2
gold melts on rupee heat,0,0,1,1,1,0,negative,1
"dec. gold settles 0.1% higher at $1,197.10 an ounce",1,0,0,0,1,0,positive,2
gold powers to six-month high as turmoil fires up haven demand,1,0,0,0,1,0,positive,2
Festival discounts on gold coin purchases,0,0,0,0,1,0,none,3
"june gold down 70 cents, or 0.1%, to end at $1,308.60/oz",0,0,1,0,1,0,negative,1
gold declines as strong dollar slow investors' demand,0,0,1,1,1,0,negative,1
gold up on fed caution over rates; higher equities cap gains,1,0,0,0,1,0,positive,2
Gold Prices Remain Lower After Upbeat U.S. Data,0,0,1,0,1,0,negative,1
sell gold on rally; buy crude on dip: commtrendz,0,0,0,1,1,0,none,3
india tightens gold import norms for nominated agencies,0,0,0,0,1,0,none,3
"mitsubishi : $1,300 is a 'trap door' and here's how gold can break out of it",0,0,0,0,1,0,none,3
vedanta resources agrees to buy sterlite gold,0,0,0,0,1,0,none,3
gold gains on demand from bargain hunters,1,0,0,0,1,0,positive,2
gold eases from 3 week top as dollar holds steady,1,0,0,1,1,0,positive,2
harmony plans capex cuts after gold price fall,0,0,1,0,1,0,negative,1
gold prices look to ecb rate decision for new direction cues,0,0,0,0,1,0,none,3
june gold falls $3.90 to close at $659.90/oz,0,0,1,0,1,0,negative,1
Gold settles lower as dollar closes in on 14-year high,0,0,1,1,1,0,negative,1
Gold adds to early gains after ISM manufacturing report,1,0,0,0,1,0,positive,2
gold prices up on festive demand,1,0,0,0,1,0,positive,2
"feb. gold ends down $11.90, or 1.4%, at $808.80 an ounce",0,0,1,0,1,0,negative,1
"gold tips higher in early trade, at $1,619/oz",1,0,0,0,1,0,positive,2
gold prices may climb rs 80/gram in three weeks,1,0,0,0,1,0,positive,2
"Gold ends at a more than 3-week high as U.S. equities, dollar weaken",1,0,0,1,1,0,positive,2
venezuela forced to pay for medicine with diamonds and gold,0,0,0,0,1,0,none,3
"spot gold quoted at $405.20, down 30c from new york",0,0,1,0,1,0,negative,1
"gold trades above $1,300 on geopolitical tensions",1,0,0,0,1,0,positive,2
Gold post soft declines as geopolitical jitters subside,0,0,1,0,1,0,negative,1
spot gold quoted at $630.30 in asia trade,1,0,0,0,1,0,positive,2
idbi mutual fund mops up rs 94 crore from first gold fund-of-fund scheme,0,0,0,0,1,0,none,3
"february gold rises nearly $22 to $1,256/oz",1,0,0,0,1,0,positive,2
Gold futures rule firm,0,0,0,0,1,0,none,3
gold may jump over 20% as investors eye inflation,1,0,0,0,1,0,positive,2
Gold prices mark lowest finish month to date,0,0,1,0,1,0,negative,1
"gold, oil futures post modest gains",1,0,0,1,1,0,positive,2
india : domestic price of gold may rise up to 3% by diwali as rupee weakens,1,0,0,1,1,0,positive,2
gold prices gain in asia as events in ukraine support,1,0,0,0,1,0,positive,2
mcx goldpetal january contract trades firm,0,0,0,0,1,0,none,3
cryptocurrency traders use old gold in drive to draw muslim investors,0,0,0,0,1,0,none,3
"gold kist quaterly earnings rise, sales slip",0,0,0,0,1,0,none,3
"credit suisse lifts '13 gold view 7% to $1,840-oz.",0,0,0,0,0,1,none,3
gold futures mark sixth straight session gain,1,0,0,0,1,0,positive,2
"gold down by rs 150, silver by rs 1,170 on reduced offtake",0,0,1,1,1,0,negative,1
stocks will outperform gold and bonds: warren buffett,0,0,0,0,1,0,none,3
Gold futures trading weak,0,0,1,0,1,0,negative,1
bis gold market intervention increased by 17% in july,0,0,0,0,1,0,none,3
gold declines on profit-selling,0,0,1,0,1,0,negative,1
"gold dips as dollar gains, though dovish fed language supports",0,0,1,1,1,0,negative,1
gold futures fall 0.49 pc on global cues,0,0,1,0,1,0,negative,1
Gold ends at a 1-month high as traders shy away from risky assets,1,0,0,0,1,0,positive,2
"april gold falls $3.30, or 0.3%, to settle at $1,315.70/oz",0,0,1,0,1,0,negative,1
gold little changed in quiet trade ahead of us jobs data,0,1,0,0,1,0,neutral,0
Gold prices up in Asia as bargain hunters snap up supplies,1,0,0,0,1,0,positive,2
"Gold inches up with Gaza, Ukraine worries in spotlight",1,0,0,0,1,0,positive,2
gold turns lower as dollar index off session lows,0,0,1,1,1,0,negative,1
gold ends lower ahead of fed decision on interest rates,0,0,1,0,1,0,negative,1
"dec. gold falls $8.40 to $1,394.90/oz on globex",0,0,1,0,1,0,negative,1
Gold futures slip on weak global cues,0,0,1,0,1,0,negative,1
spot gold quoted at $572.80 in asia trade,1,0,0,0,1,0,positive,2
"December gold down 0.1% at $1,277/oz.",0,0,1,0,1,0,negative,1
"Dec. gold climbs by $1, or less than 0.1%, to $1,270.70/oz",1,0,0,0,1,0,positive,2
"gold prices post modest gains as traders eye dollar, oil",1,0,0,1,1,0,positive,2
"crude, gold futures reverse course to trade higher",1,0,0,1,0,1,positive,2
gold inches up after ecb vigilant on inflation,1,0,0,0,1,0,positive,2
spot gold quoted at $426.20 in asia trade,1,0,0,0,1,0,positive,2
"UPDATE: Gold ticks slightly higher after jobless-claims, PPI reports",1,0,0,0,1,0,positive,2
"gold drops under $1,400 to a nearly two-week low",0,0,1,0,1,0,negative,1
gold to trade in 29456-29732 range: achiievers equities,0,1,0,0,0,1,neutral,0
Gold tanks on global crash; silver sinks,0,0,1,1,1,0,negative,1
Gold valued at over Rs 50 lakh seized in 5 separate cases,0,0,0,0,1,0,none,3
"oil, gold reverse course to trade lower",0,0,1,1,1,0,negative,1
"Profit-booking, weak global cues pull gold, silver futures down",0,0,1,1,1,0,negative,1
cboe gold index closes at highest level since march,1,0,0,0,1,0,positive,2
Gold Rates: Prices in major cities in India,0,0,0,0,1,0,none,3
"gold prices up as china central bank pumps up liquidity, prices data stable",1,0,0,0,1,0,positive,2
Gold settles lower as robust economic data boost risky assets,0,0,1,0,1,0,negative,1
"charts : gold price outlook fails to turn bullish, downside resolution possible",0,0,0,0,1,0,none,3
"Gold drops to Rs 31,250; silver slumps below Rs 38K-mark",0,0,1,1,1,0,negative,1
gold loss moderates after consumer sentiment rise,0,0,1,0,1,0,negative,1
"gold trades lower, after an earlier rise to as high as $1,274.10",0,0,1,0,1,0,negative,1
"Gold down modestly, but holds above $1,300 on Iraq turmoil",0,0,1,0,1,0,negative,1
gold futures up $6.00 at $912.70 an ounce,1,0,0,0,1,0,positive,2
"Feb. gold settles at $1,212.90/oz, up $16.70, or 1.4%",1,0,0,0,1,0,positive,2
"Gold futures climb to Rs 30,064 per 10 gm",1,0,0,0,1,0,positive,2
"gold, silver hit historic highs on global demand",1,0,0,1,1,0,positive,2
paulson maintains holdings in spdr gold trust: 13f,0,0,0,0,1,0,none,3
Gold holds near settlement price in electronic trading after FOMC minutes,0,0,1,0,1,0,negative,1
russian gold producer polyus returning to lse,0,0,0,0,1,0,none,3
"Dec. gold settles at $1,288/oz, up $14.90, or 1.2%",1,0,0,0,1,0,positive,2
"gold notches record, settles at $1,616.80 an ounce",1,0,0,0,1,0,positive,2
fresnillo tops 2011 gold output targets,0,0,0,0,1,0,none,3
gold trims losses after u.s. durable goods data disappoints,0,0,1,0,1,0,negative,1
supply : world running out of gold & there's no substitute,0,0,0,0,1,0,none,3
gold atop $400 for 1st time since april,1,0,0,0,1,0,positive,2
gold prices down after traders book  profits on gains,0,0,1,0,1,0,negative,1
"gold at 30,000 rupees; traders stay away",0,1,0,0,1,0,neutral,0
"gold prices gain in asia on political risk, fed outlook weighs",1,0,0,0,1,0,positive,2
MCX GOLDPETAL Nov contract gains,1,0,0,0,1,0,positive,2
sell mcx gold june fut; target rs 26850: emkay,0,0,0,0,1,0,none,3
"june gold closes at $642/oz, up $7.80 for the day",1,0,0,0,1,0,positive,2
feb. gold tops $650 for first time since jan. 25,1,0,0,0,1,0,positive,2
Gold extends retreat from a 1-month high,1,0,0,0,1,0,positive,2
"Gold futures jump to Rs 28,655 on firm global cues",1,0,0,0,1,0,positive,2
"Gold, silver decline in cautious trade ahead of Fed statement",0,0,1,1,1,0,negative,1
gold stocks jump-start bay street,1,0,0,0,1,0,positive,2
"gold futures down $5 at $1,136.2/oz after data",0,0,1,0,1,0,negative,1
"Gold turns pricier, but discounts get deeper for jewellers",1,0,0,0,1,0,positive,2
Gold futures settle at highest level in nearly 3 weeks,1,0,0,0,1,0,positive,2
spot gold quoted at $493 in asia trade,0,0,0,0,1,0,none,3
gold turns positive after weak u.s. data; fed outcome ahead,1,0,0,0,1,0,positive,2
"gold falls as equities rise, may test $1,050",0,0,1,0,1,0,negative,1
silver back at two-year high as gold marks first gain in five sessions,1,0,0,1,1,0,positive,2
philadelphia gold & silver index falls 2.7%,0,0,1,1,1,0,negative,1
"gold up in wake of jobs data, scores weekly gain",1,0,0,0,1,0,positive,2
gold hits record as us deficit talks stall,0,0,0,0,1,0,none,3
"April gold down 20 cents to trade at $1,258.60/oz",0,0,1,0,1,0,negative,1
Gold prices end at 1-week low,0,0,1,0,1,0,negative,1
"gold, nortel weigh on bay street",0,0,0,0,1,0,none,3
"August gold settles at $1,282.70/oz, up $2.50, or 0.2%",1,0,0,0,1,0,positive,2
gold retreats after hitting new high,1,0,0,0,1,0,positive,2
trading strategies on gold: geojit comtrade,0,0,0,0,1,0,none,3
"create superior substitute for gold investments: rana kapoor, yes bank",0,0,0,0,1,0,none,3
gold kist cut to neutral at j.p. morgan,0,0,1,0,1,0,negative,1
gold futures fall 1%; copper down 5%,0,0,1,1,1,0,negative,1
"august gold falls $5.7, or 0.5%, to $1,193.2/oz",0,0,1,0,1,0,negative,1
Gold holds gains after second-estimate of GDP,1,0,0,0,1,0,positive,2
"feb. gold ends up 2% at $836.50, highest since oct. 15",1,0,0,0,1,0,positive,2
rates : gold prices 'hit by deep link' to real yields but 'should gain' on inflation,0,0,1,0,1,0,negative,1
Gold futures climb roughly 4% for the month,1,0,0,0,1,0,positive,2
"Dec. gold falls $7.80, or 0.6%, to settle at $1,310.20/oz",0,0,1,0,1,0,negative,1
"gold futures rebound, up 1.30% as re plunges to new low",1,0,0,0,1,0,positive,2
gold futures rise as much as $12 in morning trading,1,0,0,0,1,0,positive,2
"August gold trades up $8.40, or 0.7%, at $1,254.10/oz.",1,0,0,0,1,0,positive,2
india gold falls over 1%; attracts physical traders,0,0,1,0,1,0,negative,1
gold prices edge up for a fourth session,1,0,0,0,1,0,positive,2
gold futures down $5.20 at $615 an ounce,0,0,1,0,1,0,negative,1
Gold Prices Trim Gains but Remain Supported,0,1,1,0,1,0,negative,1
china c.bank issues draft guidelines for online gold business -exchange,0,0,0,0,1,0,none,3
attention turns to small gold producers at denver forum,0,0,0,0,1,0,none,3
gold futures lose about 1.2% for the week,0,0,1,0,1,0,negative,1
"gold, copper prices head higher",1,0,0,1,1,0,positive,2
"gold will not be in demand as long as inflation is low: sanjay shah, hsbc global asset management",0,0,1,0,1,0,negative,1
gold futures recover on better global trend,1,0,0,0,1,0,positive,2
gold prices up as economic data fail to lift dollar,1,0,0,1,1,0,positive,2
"multiple fx pairs suddenly flash crash, yields tumble, gold surges",0,0,0,0,1,0,none,3
special podcast: gold hits 10-month high; should you invest?,1,0,0,0,1,0,positive,2
gold futures drop back under $410,0,0,1,0,1,0,negative,1
gold traders prefer to stay away; prices extend fall,0,0,1,0,1,0,negative,1
comex gold trades higher than the settlement after fomc minutes,1,0,0,0,1,0,positive,2
refining : swedish researchers melt gold at room temperature,0,0,0,0,1,0,none,3
Gold prices settle slightly higher after three-session decline,1,0,0,0,1,0,positive,2
"gold falls modestly, ending 3-day winning streak",0,0,1,0,1,0,negative,1
bank of mexico buys 100 tons of gold in two months,0,0,0,0,1,0,none,3
"Dec. gold settles at $1,288.90/oz, down $4.90, or 0.4%",0,0,1,0,1,0,negative,1
Gold falls from 3-1/2-month high,0,0,1,0,1,0,negative,1
"Gold, Silver may trade negative today: Angel Commodities",0,0,1,1,0,1,negative,1
gold customs duty hike modestly positive for titan: deutsche bank,0,0,0,0,1,0,none,3
"Gold slumps on profit booking, silver gains",0,1,0,1,1,0,neutral,0
physical : gold investment demand down 23% in 2017,0,0,1,0,1,0,negative,1
"gold resumes backing off from 1,360 as equities slide in thin asia markets",0,0,1,0,1,0,negative,1
gold futures hold steady ahead of u.s. data,0,1,0,0,1,0,neutral,0
asia gold demand sluggish as high prices deter buyers,1,0,0,0,1,0,positive,2
"Gold futures gain $8.40, or 0.6%, to settle at $1,357.20/oz",1,0,0,0,1,0,positive,2
gold traders put off purchases; prices at 3 week high,1,0,0,0,1,0,positive,2
Gold prices hit session highs after U.S. PPI data,1,0,0,0,1,0,positive,2
"gold gain in early asia as u.s. jobs data disappoints, trade thin",1,0,0,0,1,0,positive,2
"april gold down $9.30, or 0.7%, at $1,332.70 an ounce",0,0,1,0,1,0,negative,1
"gold rate today: gold, silver up in morning trade; should you buy?",1,0,0,1,1,0,positive,2
fifth tranche of sovereign gold bond expected to cross rs 820 crore,0,0,0,0,1,0,none,3
Gold futures prices mark first gain in three sessions,1,0,0,0,1,0,positive,2
"techs, gold take down toronto",0,0,1,0,1,0,negative,1
iamgold leads mining shares lower; gold dulls,0,0,1,0,1,0,negative,1
cboe gold index rises 1.7%,1,0,0,0,1,0,positive,2
"NITI Aayog suggests slashing import duty, GST rate on gold ",0,0,0,0,1,0,none,3
december gold contract down $3.00 to $641.40,0,0,1,0,1,0,negative,1
"August gold settles at $1,246.90/oz, up 50 cents",1,0,0,0,1,0,positive,2
"June gold falls $8.50, or 0.7%, to settle at $1,248.50/oz",0,0,1,0,1,0,negative,1
"dollar stays down, gold up after empire survey",1,0,0,1,1,0,positive,2
"June gold off $4.80, or 0.4%, at $1,243.20/oz.",0,0,1,0,1,0,negative,1
gold etf on track for biggest loss since feb.,0,0,1,0,1,0,negative,1
Gold edges higher on safe-haven bids but gains seen as short-lived,1,0,0,0,1,0,positive,2
"gold falls below $930 as crude, stock futures rise",0,0,1,1,1,0,negative,1
"gold closes with minor loss, up for week",1,0,1,0,1,0,positive,2
"April gold down $6.70, or 0.6%, to settle at $1,209.40/oz",0,0,1,0,1,0,negative,1
gold mildly lower as safe-haven flight wanes,0,0,1,0,1,0,negative,1
Comex gold may bounce higher,1,0,0,0,1,0,positive,2
gold prices steady amid firm dollar; iran tensions support,0,1,0,1,1,0,neutral,0
why big investors think it's time to hoard gold,0,0,0,0,1,0,none,3
"June gold up 70 cents, or less than 0.1%, at $1,259.80/oz.",1,0,0,0,1,0,positive,2
Gold futures hover near more than 1-month lows,0,1,0,0,1,0,neutral,0
"Gold ends lower after jobs report, but scores second straight weekly gain",1,0,1,0,1,0,positive,2
can amazon turn out-of-print books into gold?,0,0,0,0,1,0,none,3
"Gold futures rise to 26,849 on global cues",1,0,0,0,1,0,positive,2
gold price seen averaging &#36;1770 in q4: gfms,0,1,0,0,1,0,neutral,0
coins : buyers return to gold coin market,0,0,0,0,1,0,none,3
"Gold at crossroads, awaiting direction",0,0,0,0,1,0,none,3
gold's no longer the apple of investor's eye,0,0,0,0,1,0,none,3
"spot gold quoted at $392, up 20 cents from new york",1,0,0,0,1,0,positive,2
"Gold futures decline to Rs 29,736",0,0,1,0,1,0,negative,1
gold futures end higher after 6 consecutive session declines,1,0,0,0,1,0,positive,2
gold rates in major cities in india,0,0,0,0,1,0,none,3
"gold adds $42, or 2.4%, to trade at $1,833.30/oz",1,0,0,0,1,0,positive,2
Gold holds near 1-month low ahead of Fed meeting,0,1,1,0,1,0,negative,1
premium on gold plummets; traders' strike impacts jewellery sales,0,0,0,0,1,0,none,3
"gold hits new high at rs 29,295 on marriage season demand",1,0,0,0,1,0,positive,2
gold down $6.70 at $899.50 an ounce,0,0,1,0,1,0,negative,1
"December gold rises 0.2% at $1,279/oz.",1,0,0,0,1,0,positive,2
gold futures fall after failing to reach $630 level,0,0,1,0,1,0,negative,1
gold prices gain in asia after chinese trade data mixed,1,0,0,0,1,0,positive,2
"Gold futures rise to Rs 29,792 on global cues",1,0,0,0,1,0,positive,2
"up close & personal: how sunny leoneï¿½handles stocks, land, gold, other assets",1,0,0,0,1,0,positive,2
gold eases from 1-month high on positive us outlook,1,0,0,0,1,0,positive,2
gold stocks rebound as market falls,0,0,1,0,1,0,negative,1
"experts see bull run in gold, silver, crude & copper",1,0,0,1,0,1,positive,2
MCX GOLD Dec contract firms up,1,0,0,0,1,0,positive,2
Gold prices suffer back-to-back drop,0,0,1,0,1,0,negative,1
june gold falls $6 to $678.30/oz after $673 low,0,0,1,0,1,0,negative,1
"gold settles up $4.40, or 0.4%, at $1,258.40 an ounce",1,0,0,0,1,0,positive,2
"april gold settled at $1,239.40/oz, down $8.40 for the session",0,0,1,0,1,0,negative,1
"gold settles lower, at $1,337.60 an ounce",0,0,1,0,1,0,negative,1
india gold extends losses; physical trading still dull,0,0,1,0,1,0,negative,1
patagonia gold lifts cap-oeste resource estimate,1,0,0,0,1,0,positive,2
gold prices settle at lowest since late july,0,0,1,0,1,0,negative,1
gold has strong resistance at usd 1664.5: mangal keshav,0,1,0,0,1,0,neutral,0
"Gold futures extend rally to fourth session, close up 1.5%",1,0,0,0,1,0,positive,2
gold futures edge up after steep drop,1,0,0,0,1,0,positive,2
"world gold council, mmtc-pamp launch india's first precious metals assay and training institute",0,0,0,0,1,0,none,3
"Gold post back-to-back gains, ends at 2-month high",1,0,0,0,1,0,positive,2
december gold down $2.30 to $730.50 an ounce on globex,0,0,1,0,1,0,negative,1
Outlook stays bullish for gold,1,0,0,0,1,0,positive,2
gold vs bitcoin: which one is the better investment?,0,0,0,1,0,1,none,3
gold futures rally nearly 2% on dollar weakness,1,0,0,1,1,0,positive,2
sharps pixley: gold facing severe headwinds despite overvalued dollar - murenbeeld,0,0,0,1,1,0,none,3
"gold futures down 0.6% on day, up 2.2% on week",0,0,1,0,1,0,negative,1
gold shares responding (finally)?,0,0,0,0,1,0,none,3
Gold holds slight gain after Empire State manufacturing report,1,0,0,0,1,0,positive,2
mcx goldpetal march contract trades lower,0,0,1,0,1,0,negative,1
gold edges lower; traders seek more falls,0,0,1,0,1,0,negative,1
gold ends higher after last week's steep fall,1,0,1,0,1,0,positive,2
"gold rises on dollar weakness, trade tensions",1,0,0,1,1,0,positive,2
"gold, silver settle higher on greece turmoil",1,0,0,1,1,0,positive,2
gold ends atop $450 at 5-month high,1,0,0,0,1,0,positive,2
"Gold for December delivery off 0.4% at $1,268.00 vs $1,270 before data",0,0,0,0,1,0,none,3
"risk-on sentiment did trigger correction in gold, but yellow metal in a sweet spot",0,0,0,0,1,0,none,3
meridian gold up 6.1% in $xau,1,0,0,0,1,0,positive,2
Gold futures rise but remain near 1-1/2 month lows,1,0,0,0,1,0,positive,2
"Dec. gold falls $7.10, or 0.6%, to settle at $1,266.40/oz",0,0,1,0,1,0,negative,1
"August gold gains $2.30, or 0.2%, to settle at $1,245.80/oz",1,0,0,0,1,0,positive,2
"gold futures fall after gloomy data on housing, jobs",0,0,1,0,1,0,negative,1
"april gold down $20.60 at $1,352.30 an ounce",0,0,1,0,1,0,negative,1
"Gold rallies on positive global cues, jewellers' buying",1,0,0,0,1,0,positive,2
spot gold rises $1 to $949/troy ounce,1,0,0,0,1,0,positive,2
gold is the only place for new money in june,0,0,0,0,1,0,none,3
"Commodity Outlook: Gold may rest easy at Rs 31,100",0,0,0,1,0,1,none,3
gold futures close down $3.40 at $581 an ounce,0,0,1,0,1,0,negative,1
gold to trade in 29546-29814 range: achiievers equities,0,1,0,0,0,1,neutral,0
gold bullion premiums at multi-year lows,0,0,1,0,1,0,negative,1
"Gold adds to gains on softer equities, dollar",1,0,0,1,1,0,positive,2
gold to trade in 27849-28171: achiievers equities,0,1,0,0,0,1,neutral,0
gold falls as traders scramble to assess news of terror plot,0,0,1,0,1,0,negative,1
gold rallies for third day; up by rs 40 on seasonal demand,1,0,0,0,1,0,positive,2
"gold reverses losses on equity, econ concerns stay",0,0,0,0,1,0,none,3
Gold holds modest losses after Chicago PMI miss,0,0,1,0,1,0,negative,1
"Gold prices slip in Mumbai, Ahmedabad market",0,0,1,0,1,0,negative,1
gold off the highs as u.s. dollar fights back,1,0,0,1,1,0,positive,2
Gold moves up further,1,0,0,0,1,0,positive,2
Gold futures log second straight session of losses,0,0,1,0,1,0,negative,1
can you buy gold in your ira?,0,0,0,0,0,1,none,3
Gold gains on soft U.S. home sales data,1,0,0,0,1,0,positive,2
"gold down $21.60, or 1.6%, to $1,374.80 ounce",0,0,1,0,1,0,negative,1
Gold starts 2017 on positive note,1,0,0,0,1,0,positive,2
"gold, silver fall on subdued demand, global cues",0,0,1,1,1,0,negative,1
june gold ends up $19.50 at $937.50 an ounce on nymex,1,0,0,0,1,0,positive,2
gold futures mark first gain in six sessions,1,0,0,0,1,0,positive,2
"june gold spikes 1.4% to $1,238.90/oz after fed yellen's remarks",1,0,0,0,1,0,positive,2
"gold advances on investment demand, silver declines",1,0,0,1,1,0,positive,2
the worst may be over for yamana gold,0,0,0,0,1,0,none,3
"gold falls below $1,300 an ounce; off 2.7% at $1,291.80",0,0,1,0,1,0,negative,1
"spot gold quoted at $399, down $1.30 from new york",0,0,1,0,1,0,negative,1
Gold gleams as rupee slips,1,0,0,1,1,0,positive,2
"gold, silver down on fresh offerings",0,0,1,1,1,0,negative,1
"dec. gold falls $6.20, or 0.5%, to settle at $1,133.60/oz on comex",0,0,1,0,1,0,negative,1
"Gold, silver prices improve on physical demand",1,0,0,1,1,0,positive,2
gold trades higher after three straight losses,1,0,0,0,1,0,positive,2
Expect Gold prices to trade positive: Sushil Finance,1,0,0,0,0,1,positive,2
mcx gold april contract slips 1.2%,0,0,1,0,1,0,negative,1
mcx gold feb contract up slightly,1,0,0,0,1,0,positive,2
"Gold eases ahead of US jobs data, but eyes 6th weekly gain",1,0,1,0,1,0,positive,2
Gold prices decline for 4th session in a row,0,0,1,0,1,0,negative,1
"Gold futures log biggest one-day loss of the year, but hold above $1,200 an ounce",0,0,1,0,1,0,negative,1
gold falls 2.4% as euro slips and dollar gains,0,0,1,1,1,0,negative,1
Gold futures lose 5% for the week,0,0,1,0,1,0,negative,1
"gold seen extending gains, nearing peak",1,0,0,0,1,0,positive,2
gold futures steady ahead of key greek debt talks,0,1,0,0,1,0,neutral,0
"Gold futures down at Rs 30,864 per 10 gm",0,0,1,0,1,0,negative,1
Gold hits near 1-week high as easing trade concerns hurt dollar,1,0,0,1,1,0,positive,2
"gold futures fall for the session, but edge up for the week",1,0,1,0,1,0,positive,2
"dec gold touches $397, highest since may 1996",1,0,0,0,1,0,positive,2
dec. gold falls $2.80 to close at $717.90/oz,0,0,1,0,1,0,negative,1
Gold sticks near 3-month high as risk aversion in play,1,1,0,0,1,0,positive,2
Report: India's gold demand up 13% at 975 tonnes in 2013,0,0,0,0,1,0,none,3
"Gold ends with a loss, prices suffer weekly drop of 2.5%",0,0,1,0,1,0,negative,1
Gold jumps by the most in 6 weeks as crude oil rallies,1,0,0,1,1,0,positive,2
gold falls as investors lock in gains from soft u.s. jobs data,0,0,1,0,1,0,negative,1
"Dec. gold pares gains, up 0.1% at $1,275.90/oz after ISM services data",1,0,0,0,1,0,positive,2
"feb gold closes at $455.90/oz, down $1.90 for the day",0,0,1,0,1,0,negative,1
gold prices fall back under $400; freeport shares down,0,0,1,0,1,0,negative,1
gold slides to 4-month low as dollar edges up,0,0,1,1,1,0,negative,1
"Gold ends above key $1,230 level as investors weigh interest-rate outlook",1,0,0,0,1,0,positive,2
gold futures drop $22 in two sessions,0,0,1,0,1,0,negative,1
Gold gains as dollar slips on US jobs data,1,0,0,1,1,0,positive,2
marriage of gold and crypto: a match made in investment heaven?,0,0,0,0,0,1,none,3
gold settles higher on european debt woes,1,0,0,0,1,0,positive,2
Gold eyes worst week in five as strong US data fuels Fed hike view,0,0,1,0,1,0,negative,1
"diwali 2011: gold coins, jewellery bookings up on price worries",1,0,0,0,1,0,positive,2
Gold climbs to one-month high on Japan stimulus hope,1,0,0,0,1,0,positive,2
new rbi gold norms to curb imports by 32%: motilal oswal,0,0,0,0,1,0,none,3
gold steady near five-week low ahead of us jobs data,0,1,0,0,1,0,neutral,0
Gold settles with a gain after turning higher near the session's end,1,0,0,0,1,0,positive,2
"Gold struggles below $1,200 as equities, dollar gain",0,0,1,1,1,0,negative,1
gold jewellery exports rise to rs 35k crore in apr-jan,0,0,0,0,1,0,none,3
Gold regains 26k level; silver surges on fresh buying,1,1,0,1,1,0,positive,2
wells fargo : silver has more upside potential than gold,1,0,0,1,1,0,positive,2
go long on gold; stop loss below rs 28400: nirmal bang,0,0,1,0,1,0,negative,1
gold futures close above $690 at six-week high,1,0,0,0,1,0,positive,2
"april gold down 0.5% to $1,314.50 an ounce",0,0,1,0,1,0,negative,1
gold futures remain slightly lower after housing data,0,0,1,0,1,0,negative,1
"gold futures, metals shares turn lower",0,0,1,0,1,0,negative,1
"ventura commodities remains bullish on gold, crude",1,0,0,1,1,0,positive,2
gold dips on u.s. rate-hike uncertainty,0,0,1,0,1,0,negative,1
"gold holds near &#36;1,715/oz, focus shifts to euro zone",0,1,0,0,1,0,neutral,0
gold prices move down rs 115 after safe haven appeal hit,0,0,1,0,1,0,negative,1
mcx gold october contract gains,1,0,0,0,1,0,positive,2
"Dec. gold settles at $1,317.10/oz, up $5.70, or 0.4%",1,0,0,0,1,0,positive,2
"spot gold bid at $389 an ounce, up 30c",1,0,0,0,1,0,positive,2
Gold / Silver / Copper futures - weekly outlook: September 14 - 18,0,0,0,1,1,0,none,3
"Gold ends higher, books best weekly gain in seven months",1,0,0,0,1,0,positive,2
meridian gold upped to 'overweight' at j.p. morgan,1,0,0,0,1,0,positive,2
Gold rebounds from 9-month low as US equities slide,0,0,1,0,1,0,negative,1
"Gold futures end lower, log a roughly 2% drop for week; silver slips for week",0,0,1,1,1,0,negative,1
gold prices flat as prospect of further fed rate hikes weigh,0,1,0,0,1,0,neutral,0
Gold prices mark first loss in three sessions,0,0,1,0,1,0,negative,1
"Gold futures tally weekly loss of 0.1%, based on most-active contracts",0,0,1,0,1,0,negative,1
Gold prices to trade higher Angel Commodities,1,0,0,0,0,1,positive,2
gold futures snap 6-session winning streak,0,0,1,0,1,0,negative,1
gold looks to stage a modest recovery amid highly oversold conditions,1,0,0,0,1,0,positive,2
"trading strategies on gold, silver, nickel & copper",0,0,0,1,1,0,none,3
gold futures move up on global cues,1,0,0,0,1,0,positive,2
"dec. gold climbs by $8.70, or 0.7%, to settle at $1,210.10/oz",1,0,0,0,1,0,positive,2
CME Group is launching a gold-trading platform inspired by bitcoin,0,0,0,1,1,0,none,3
gold ends with a nearly $6 weekly gain,1,0,0,0,1,0,positive,2
Gold drops to lowest finish since early February,0,0,1,0,1,0,negative,1
starbucks loyalty program wins gold stars from most but not all analysts,0,0,0,0,1,0,none,3
a split between east and west over gold's future?,0,0,0,0,0,1,none,3
gold hits 2-week low as dollar rallies vs yen,0,0,1,1,1,0,negative,1
mcx goldguinea december contract trades firm,0,0,0,0,1,0,none,3
